Date,Open,High,Low,Close,Adj Close,Volume
2015-05-20,73.500000,73.550003,72.709999,73.339996,56.551647,125246
2015-05-21,72.940002,73.320000,72.720001,73.129997,56.389709,96474
2015-05-22,73.000000,73.300003,72.459999,72.470001,55.880802,62831
2015-05-25,71.800003,71.800003,68.739998,70.000000,53.976204,208211
2015-05-26,69.599998,70.540001,68.290001,68.559998,52.865841,295274
2015-05-27,68.809998,70.139999,68.809998,70.059998,54.022472,201354
2015-05-28,70.040001,70.500000,69.839996,70.330002,54.230667,291356
2015-05-29,70.470001,70.800003,69.379997,69.809998,53.829697,156843
2015-06-01,70.019997,71.000000,69.510002,69.739998,53.775719,163645
2015-06-02,70.400002,70.870003,69.250000,70.550003,54.400303,147937
2015-06-03,71.180000,71.709999,70.699997,71.110001,54.832123,322024
2015-06-04,70.699997,70.769997,69.059998,69.059998,53.251389,406954
2015-06-05,68.559998,69.269997,67.650002,68.959999,53.174278,201038
2015-06-08,68.690002,68.949997,67.980003,68.550003,52.858131,201922
2015-06-09,68.000000,68.500000,66.930000,68.410004,52.750187,257680
2015-06-10,67.870003,68.769997,67.010002,68.540001,52.850418,381018
2015-06-11,68.620003,69.610001,68.300003,68.610001,52.904388,154706
2015-06-12,67.599998,67.769997,65.720001,66.879997,51.570412,367920
2015-06-15,66.019997,66.779999,65.150002,65.690002,50.652821,260342
2015-06-16,65.410004,65.550003,64.250000,65.349998,50.390644,604969
2015-06-17,65.400002,66.269997,64.970001,65.730003,50.683662,189784
2015-06-18,65.910004,66.669998,64.750000,66.669998,51.408482,243016
2015-06-19,66.320000,67.419998,65.349998,66.120003,50.984390,1314190
2015-06-22,67.419998,68.879997,66.879997,68.879997,53.112595,370015
2015-06-23,69.000000,71.360001,69.000000,70.510002,54.369461,259523
2015-06-24,70.260002,70.500000,68.779999,69.190002,53.351631,217697
2015-06-25,69.000000,72.349998,68.519997,71.000000,54.747307,1147426
2015-06-26,70.650002,71.760002,69.559998,71.279999,54.963196,339462
2015-06-29,68.050003,69.510002,68.050003,68.500000,52.819576,371740
2015-06-30,67.900002,68.800003,66.660004,67.730003,52.225842,256314
2015-07-01,68.150002,70.930000,67.410004,69.529999,53.613792,359741
2015-07-02,68.000000,69.230003,65.809998,67.440002,53.542351,333991
2015-07-03,67.830002,67.830002,66.260002,66.620003,52.891327,111083
2015-07-06,65.339996,66.250000,64.500000,64.629997,51.311409,166465
2015-07-07,64.540001,64.919998,62.740002,63.180000,50.160213,309917
2015-07-08,63.200001,65.250000,62.680000,64.370003,51.104992,411781
2015-07-09,64.800003,68.400002,64.660004,67.820000,53.844036,387270
2015-07-10,69.470001,70.610001,68.910004,70.330002,55.836788,263682
2015-07-13,71.000000,71.180000,70.269997,70.559998,56.019386,191706
2015-07-14,70.750000,71.139999,69.760002,71.139999,56.479862,236155
2015-07-15,70.849998,72.769997,70.690002,72.510002,57.567554,624514
2015-07-16,72.800003,73.470001,72.480003,73.250000,58.155056,278103
2015-07-17,73.500000,74.400002,72.750000,74.209999,58.917213,1329448
2015-07-20,74.510002,75.000000,74.120003,74.209999,58.917213,436457
2015-07-21,74.250000,75.150002,74.089996,74.370003,59.044250,262396
2015-07-22,73.610001,74.639999,73.059998,74.550003,59.187157,794471
2015-07-23,74.800003,75.370003,74.250000,74.400002,59.068069,328791
2015-07-24,74.519997,74.760002,73.910004,74.029999,58.774319,177106
2015-07-27,73.639999,73.849998,72.730003,72.800003,57.797783,176592
2015-07-28,73.089996,75.099998,73.089996,75.029999,59.568226,451688
2015-07-29,74.440002,75.160004,74.290001,74.750000,59.345943,239454
2015-07-30,75.000000,75.059998,73.589996,74.000000,58.750492,360462
2015-07-31,74.459999,74.459999,72.330002,73.610001,58.440865,327807
2015-08-03,73.739998,74.300003,73.269997,74.059998,58.798134,244128
2015-08-04,73.879997,73.879997,72.730003,73.290001,58.186806,203879
2015-08-05,73.750000,74.750000,73.559998,74.050003,58.790195,331104
2015-08-06,73.760002,75.120003,73.760002,73.910004,58.679043,225207
2015-08-07,74.000000,74.000000,72.550003,72.680000,57.702515,218141
2015-08-10,73.309998,73.529999,72.480003,73.410004,58.282082,217828
2015-08-11,73.120003,73.629997,72.120003,72.470001,57.535793,186568
2015-08-12,71.750000,71.750000,70.550003,70.610001,56.059082,189934
2015-08-13,71.809998,72.120003,70.889999,71.470001,56.741859,169185
2015-08-14,71.639999,72.190002,71.040001,71.040001,56.400475,124787
2015-08-17,71.820000,71.879997,70.599998,71.370003,56.662468,134997
